ZIP,activeplayersperzip,AREA,POPcurrent,POPplus5,#OFBUSS,POPSQMI,DAYPOP,URBANPCT,RURALPCT,WHITECOLLAR,18-24%,25-34%,35-44%,45-54%,55-64%,65+%,INCOMEMED,MALEPOP,FEMALEPOP
91330,2,Northridge,1992,2043,13,5056,3074,1,0,0.77,0.53,0.18,0.09,0.06,0.03,0.03,57812,904,1088
91355,1880,Valencia,29043,31083,2693,1121,47071,0.96,0.04,0.81,0.07,0.12,0.19,0.17,0.1,0.1,102429,14131,14912
90011,2927,Los Angeles,105631,110543,1574,24211,16509,1,0,0.27,0.14,0.18,0.12,0.09,0.05,0.05,26986,54164,51467
90013,491,Los Angeles,8861,9176,2343,13976,22506,1,0,0.49,0.05,0.15,0.23,0.21,0.13,0.14,21173,5889,2972
90015,578,Los Angeles,18724,20131,5308,11452,44610,1,0,0.39,0.15,0.2,0.14,0.1,0.06,0.08,23253,9774,8950
90034,2494,Los Angeles,62539,67635,1673,19623,17420,1,0,0.75,0.13,0.25,0.16,0.12,0.07,0.07,50279,30976,31563
90036,1402,Los Angeles,34665,37359,2782,14504,30291,1,0,0.86,0.07,0.29,0.17,0.12,0.07,0.13,72924,16875,17790
90038,1152,Los Angeles,32516,32942,1461,21562,18144,1,0,0.45,0.12,0.23,0.16,0.11,0.06,0.07,25839,17184,15332
90057,1290,Los Angeles,48087,53602,1692,53135,12628,1,0,0.34,0.14,0.21,0.15,0.1,0.06,0.08,23138,25682,22405
90059,1791,Los Angeles,41521,45332,486,12102,10412,1,0,0.41,0.11,0.14,0.13,0.1,0.06,0.07,23902,19567,21954
90061,1234,Los Angeles,25660,27936,697,9865,10005,1,0,0.42,0.11,0.14,0.13,0.1,0.07,0.09,31785,12360,13300
90201,3377,Bell,109561,115498,1795,18157,20501,1,0,0.35,0.12,0.18,0.13,0.1,0.05,0.05,33832,55141,54420
90222,1374,Compton,31657,33860,466,12294,5324,1,0,0.39,0.12,0.14,0.13,0.1,0.06,0.08,33711,15606,16051
90245,1004,El Segundo,16628,17395,1708,3044,35943,1,0,0.73,0.06,0.17,0.2,0.16,0.08,0.1,86414,8278,8350
90247,2860,Gardena,50228,53963,1532,13513,14559,1,0,0.53,0.09,0.17,0.15,0.11,0.08,0.12,43205,24792,25436
90249,1935,Gardena,27076,28153,1502,9144,15717,1,0,0.6,0.09,0.15,0.15,0.14,0.1,0.1,56339,13286,13790
90270,883,Maywood,29176,30494,476,24112,3894,1,0,0.31,0.13,0.19,0.13,0.1,0.06,0.05,33913,14880,14296
90272,420,Pacific Palisad,22207,21666,927,902,7586,1,0,0.93,0.05,0.06,0.16,0.19,0.13,0.17,173613,10692,11515
90293,598,Playa del Rey,10493,11205,343,4233,2560,1,0,0.86,0.05,0.24,0.19,0.18,0.11,0.11,99396,5182,5311
90504,2129,Torrance,33319,35131,896,8904,11415,1,0,0.69,0.08,0.13,0.18,0.15,0.1,0.13,63211,16393,16926
90506,8,Torrance,0,0,2,0,2033,0,0,0,0,0,0,0,0,0,0,0,0
90602,1285,Whittier,26935,28478,987,9424,10526,1,0,0.57,0.12,0.18,0.14,0.11,0.07,0.1,48529,13052,13883
90621,1708,Buena Park,35540,38227,1453,8925,15776,1,0,0.56,0.11,0.18,0.15,0.11,0.07,0.07,48622,17773,17767
90623,868,La Palma,15752,16233,410,8515,6185,1,0,0.76,0.08,0.12,0.15,0.15,0.14,0.11,85190,7718,8034
90715,1288,Lakewood,22296,24511,181,13100,1592,1,0,0.58,0.1,0.16,0.15,0.13,0.08,0.08,58788,10941,11355
90717,1395,Lomita,21213,22280,955,10912,5854,1,0,0.66,0.08,0.16,0.18,0.14,0.09,0.11,61086,10218,10995
90740,1184,Seal Beach,24591,25673,922,2122,10802,1,0,0.8,0.04,0.1,0.11,0.12,0.12,0.39,76835,10835,13756
90742,83,Sunset Beach,882,940,71,5378,431,1,0,0.74,0.06,0.22,0.18,0.18,0.13,0.12,88194,485,397
90813,2377,Long Beach,63624,66130,1475,15862,13941,1,0,0.33,0.12,0.17,0.13,0.09,0.05,0.05,21109,32265,31359
91020,440,Montrose,8145,8919,540,10992,3146,1,0,0.73,0.07,0.15,0.19,0.16,0.09,0.13,64702,3781,4364
91024,440,Sierra Madre,11198,11838,457,3676,2936,1,0,0.83,0.06,0.11,0.18,0.19,0.12,0.16,96667,5306,5892
90010,225,Los Angeles,4368,4802,4322,10706,40499,0,0,0.69,0.07,0.23,0.16,0.12,0.09,0.18,34336,2198,2170
90012,961,Los Angeles,33283,35697,2302,9081,54825,1,0,0.53,0.13,0.22,0.19,0.13,0.07,0.14,22816,20085,13198
90014,356,Los Angeles,3894,4124,4497,13663,29421,1,0,0.46,0.03,0.1,0.18,0.22,0.15,0.26,12069,2550,1344
90035,1148,Los Angeles,29422,31321,1508,13971,11436,1,0,0.85,0.07,0.2,0.16,0.14,0.09,0.16,74317,13883,15539
90037,2240,Los Angeles,58278,61417,1067,20978,8349,1,0,0.34,0.13,0.16,0.14,0.1,0.06,0.07,23447,28812,29466
90039,1404,Los Angeles,30043,30802,952,7602,11892,1,0,0.67,0.08,0.18,0.17,0.14,0.1,0.11,57489,15305,14738
90058,132,Los Angeles,3567,3676,1873,815,46658,1,0,0.32,0.11,0.15,0.13,0.1,0.06,0.05,22500,1779,1788
90062,1564,Los Angeles,31566,34476,447,16364,3071,1,0,0.46,0.1,0.14,0.15,0.11,0.08,0.1,30879,14879,16687
90248,705,Gardena,10276,11255,2165,2318,38613,1,0,0.59,0.08,0.14,0.15,0.12,0.1,0.16,54167,5100,5176
90250,5292,Hawthorne,97060,101710,2352,14762,24876,1,0,0.57,0.11,0.19,0.15,0.11,0.07,0.07,39655,46948,50112
90292,1027,Marina del Rey,19780,22264,1617,9424,16655,1,0,0.88,0.03,0.23,0.2,0.17,0.14,0.15,100725,10039,9741
90503,2287,Torrance,43889,45807,2575,7160,37713,1,0,0.79,0.07,0.13,0.19,0.15,0.1,0.14,78767,21347,22542
90505,1909,Torrance,37138,39435,3286,6441,36337,1,0,0.79,0.06,0.11,0.19,0.15,0.1,0.15,82215,17936,19202
90601,1946,Whittier,33349,35434,936,2930,13604,1,0,0.68,0.1,0.16,0.15,0.14,0.09,0.1,68672,16100,17249
90620,2952,Buena Park,44662,44236,1216,6774,18672,1,0,0.62,0.09,0.13,0.17,0.13,0.09,0.12,68085,22058,22604
90670,1123,Santa Fe Spring,17251,18138,3128,2046,56097,1,0,0.54,0.09,0.14,0.15,0.12,0.09,0.13,58579,8667,8584
90716,546,Hawaiian Garden,15678,16624,323,16014,4217,1,0,0.41,0.12,0.16,0.13,0.1,0.06,0.07,36835,8012,7666
90808,2242,Long Beach,37548,37243,937,4444,18552,1,0,0.72,0.07,0.12,0.17,0.16,0.09,0.15,82896,18263,19285
90810,2085,Long Beach,37938,40693,703,5993,16580,1,0,0.44,0.11,0.14,0.13,0.11,0.08,0.11,42814,18561,19377
91207,483,Glendale,10134,10278,189,2178,1023,1,0,0.83,0.06,0.13,0.17,0.16,0.13,0.18,90020,4802,5332
91301,1130,Agoura Hills,29049,31788,1820,618,16918,0.94,0.06,0.83,0.07,0.11,0.18,0.19,0.1,0.07,105364,14400,14649
91303,1305,Canoga Park,25130,26727,1930,11623,16072,1,0,0.5,0.12,0.21,0.16,0.11,0.06,0.05,43135,13057,12073
91324,1595,Northridge,24899,25828,2645,6156,23972,1,0,0.7,0.11,0.15,0.14,0.13,0.09,0.12,65368,12414,12485
91326,1708,Northridge,28698,29611,548,3639,4793,1,0,0.86,0.07,0.1,0.16,0.19,0.13,0.12,101336,14037,14661
91351,2164,Canyon Country,29904,32879,1288,3045,9967,0.97,0.03,0.64,0.08,0.15,0.19,0.13,0.07,0.07,74244,14806,15098
91606,2145,North Hollywood,49600,54827,1198,14917,11015,1,0,0.51,0.1,0.18,0.16,0.12,0.07,0.08,36679,24964,24636
91608,7,Universal City,0,0,142,0,4370,1,0,0,0,0,0,0,0,0,0,0,0
91702,3106,Azusa,61274,66067,1357,6114,19416,1,0,0.49,0.14,0.16,0.14,0.1,0.07,0.07,51736,30389,30885
91723,1278,Covina,16859,17899,1563,7820,16864,1,0,0.65,0.1,0.16,0.16,0.13,0.08,0.11,49486,8027,8832
91401,1932,Van Nuys,44837,49040,1709,12655,17041,1,0,0.61,0.1,0.18,0.16,0.13,0.08,0.1,40294,22397,22440
91403,1159,Sherman Oaks,22137,23958,2105,6343,18438,1,0,0.85,0.06,0.22,0.18,0.15,0.1,0.14,84128,10629,11508
91405,2335,Van Nuys,52824,58279,1812,16653,17725,1,0,0.52,0.11,0.19,0.15,0.11,0.06,0.08,34431,26608,26216
91522,1,Burbank,3,4,4,18,233,1,0,1,0.33,0.33,0.33,0,0,0,87500,3,0
91706,3680,Baldwin Park,79507,83789,2136,5120,28676,1,0,0.42,0.12,0.16,0.14,0.11,0.07,0.07,47788,39733,39774
91710,4642,Chino,81636,88470,2558,2214,37578,0.97,0.03,0.56,0.13,0.16,0.17,0.13,0.07,0.06,66685,43629,38007
91731,1212,El Monte,31160,33932,1690,8239,21718,1,0,0.41,0.12,0.17,0.14,0.11,0.07,0.08,36322,15701,15459
91733,1705,South El Monte,47301,49672,2623,6737,27453,1,0,0.33,0.12,0.18,0.13,0.1,0.06,0.07,35884,24048,23253
91752,1856,Mira Loma,22113,25629,500,1455,9167,0.98,0.02,0.44,0.11,0.12,0.15,0.13,0.09,0.1,47550,11059,11054
91754,1806,Monterey Park,32791,34011,1726,6903,17550,1,0,0.68,0.08,0.14,0.14,0.13,0.1,0.19,50618,15746,17045
91917,33,Dulzura,633,672,25,15,166,0,1,0.66,0.06,0.06,0.16,0.18,0.13,0.15,64453,334,299
91942,2063,La Mesa,23652,23619,1235,5967,15271,1,0,0.7,0.1,0.16,0.15,0.13,0.09,0.2,62847,10970,12682
91963,29,Potrero,1038,1052,24,23,105,0,1,0.47,0.06,0.08,0.16,0.16,0.12,0.13,46912,538,500
92036,136,Julian,3045,3107,288,7,1779,0,1,0.51,0.06,0.07,0.13,0.2,0.15,0.16,59904,1510,1535
92057,2773,Oceanside,51117,55922,450,3309,4922,0.98,0.02,0.6,0.09,0.14,0.16,0.11,0.07,0.14,66499,25009,26108
92059,47,Pala,1653,1849,55,21,590,0,1,0.51,0.08,0.14,0.16,0.13,0.08,0.08,55993,838,815
92061,76,Pauma Valley,2076,2073,99,59,894,0,1,0.42,0.09,0.1,0.14,0.14,0.08,0.1,49423,1098,978
92082,733,Valley Center,17192,17927,583,124,4139,0.02,0.98,0.59,0.07,0.08,0.15,0.16,0.11,0.14,73964,8733,8459
92084,1812,Vista,46022,48149,1561,1722,12048,0.92,0.08,0.54,0.1,0.14,0.14,0.13,0.08,0.12,58051,23007,23015
92105,2565,San Diego,74510,77819,1086,13160,9278,1,0,0.39,0.11,0.18,0.13,0.1,0.06,0.07,28431,37001,37509
92107,1160,San Diego,28546,29213,925,8819,5848,1,0,0.68,0.13,0.25,0.16,0.15,0.08,0.11,67453,14597,13949
92109,1617,San Diego,48537,51477,2371,6408,26922,1,0,0.73,0.15,0.33,0.14,0.11,0.07,0.1,68080,26042,22495
92128,1930,San Diego,45490,48583,1763,3893,21505,1,0,0.84,0.06,0.13,0.16,0.13,0.1,0.22,90251,21434,24056
92130,1269,San Diego,37002,46028,1266,1719,16890,1,0,0.91,0.05,0.13,0.23,0.16,0.07,0.05,135027,18043,18959
92155,15,San Diego,788,735,9,3368,119,1,0,0.82,0.02,0.03,0.05,0.09,0.14,0.62,115164,365,423
92201,2046,Indio,66265,78335,1632,3104,16986,0.99,0.01,0.46,0.12,0.16,0.13,0.1,0.07,0.09,42366,33346,32919
92203,1312,Indio,3899,5267,336,284,6977,0.55,0.45,0.37,0.08,0.09,0.08,0.08,0.12,0.35,43948,1924,1975
92249,186,Heber,3789,3964,29,148,366,0,1,0.42,0.12,0.15,0.15,0.11,0.07,0.09,33977,1976,1813
92270,831,Rancho Mirage,15302,17867,1028,593,15223,0.99,0.01,0.72,0.04,0.05,0.08,0.12,0.18,0.42,83599,7363,7939
91208,739,Glendale,15430,15435,567,1985,4465,1,0,0.83,0.06,0.11,0.18,0.16,0.12,0.17,95399,7322,8108
91302,826,Calabasas,24457,26200,1479,959,16052,0.73,0.27,0.87,0.06,0.08,0.18,0.19,0.11,0.09,135432,11886,12571
91304,2858,Canoga Park,49177,51183,1342,5239,14082,0.99,0.01,0.66,0.09,0.16,0.17,0.14,0.09,0.1,62713,24505,24672
91325,1817,Northridge,32520,34513,1021,6682,11318,1,0,0.74,0.15,0.16,0.14,0.13,0.09,0.12,67991,15832,16688
91350,2285,Santa Clarita,27821,30348,1193,2364,10110,0.82,0.18,0.71,0.07,0.11,0.2,0.16,0.08,0.05,94735,13863,13958
91352,2237,Sun Valley,47900,50249,2222,3351,27995,1,0,0.44,0.11,0.16,0.14,0.12,0.07,0.08,45336,24418,23482
91371,1,Woodland Hills,4,5,5,7,189,1,0,1,0.25,0.25,0.25,0.25,0,0,20000,2,2
91423,1684,Sherman Oaks,29732,31804,1716,6851,14537,1,0,0.84,0.06,0.21,0.18,0.16,0.1,0.14,80013,14103,15629
91605,2679,North Hollywood,59232,64345,2604,11393,24897,1,0,0.45,0.11,0.17,0.15,0.11,0.07,0.08,36835,30034,29198
91607,1745,Valley Village,32915,36149,945,12645,7171,1,0,0.76,0.08,0.2,0.18,0.15,0.09,0.13,57543,15917,16998
91701,2499,Rancho Cucamong,43862,49361,771,5944,6034,1,0,0.7,0.1,0.12,0.17,0.16,0.09,0.08,84646,21536,22326
91724,1575,Covina,26467,27409,715,4257,6566,1,0,0.67,0.09,0.12,0.16,0.14,0.1,0.11,73500,12803,13664
91770,3361,Rosemead,64182,67464,1562,9830,28008,1,0,0.51,0.1,0.16,0.15,0.13,0.09,0.11,43380,31548,32634
91910,4055,Chula Vista,83547,95395,2699,7025,30208,1,0,0.65,0.09,0.15,0.15,0.13,0.08,0.12,57006,40474,43073
91914,770,Chula Vista,5001,7245,138,1787,1887,1,0,0.74,0.06,0.23,0.21,0.1,0.05,0.03,78877,2456,2545
91935,374,Jamul,9152,10055,222,71,1410,0.03,0.97,0.69,0.08,0.08,0.16,0.2,0.12,0.1,103217,4697,4455
91962,82,Pine Valley,1968,1988,65,18,418,0,1,0.59,0.07,0.06,0.14,0.22,0.12,0.12,68142,995,973
92004,118,Borrego Springs,2938,3007,214,4,1885,0,1,0.46,0.06,0.09,0.11,0.13,0.15,0.28,43246,1508,1430
92008,1127,Carlsbad,40003,45091,3369,2060,42664,1,0,0.7,0.08,0.14,0.16,0.16,0.09,0.16,77817,19971,20032
92029,781,Escondido,18096,18244,1482,645,19585,0.96,0.04,0.72,0.08,0.11,0.15,0.18,0.11,0.13,88825,8950,9146
92054,1944,Oceanside,81623,85880,2926,3019,27103,0.91,0.09,0.54,0.17,0.17,0.14,0.1,0.06,0.08,45898,43404,38219
92056,2444,Oceanside,52530,54461,1140,4280,15794,1,0,0.66,0.09,0.12,0.15,0.12,0.08,0.18,71184,25445,27085
92075,348,Solana Beach,12453,12687,1432,3853,10344,1,0,0.79,0.07,0.15,0.16,0.16,0.12,0.16,106270,6159,6294
92102,1549,San Diego,49195,52151,951,9446,10900,1,0,0.41,0.12,0.18,0.14,0.1,0.06,0.07,28778,24821,24374
92123,1568,San Diego,27518,28757,2529,3164,73198,1,0,0.7,0.12,0.19,0.14,0.11,0.08,0.12,63947,13638,13880
92173,1653,San Ysidro,29556,31663,757,8064,8021,0.86,0.14,0.45,0.11,0.14,0.13,0.1,0.07,0.08,31180,13937,15619
92240,1718,Desert Hot Spri,25186,27470,616,366,5055,0.74,0.26,0.43,0.1,0.14,0.14,0.11,0.08,0.13,33347,12529,12657
92242,33,Earp,1779,2071,43,21,529,0,1,0.46,0.06,0.05,0.09,0.12,0.16,0.35,31250,858,921
92267,5,Parker Dam,98,76,16,2,164,0,1,0.28,0.09,0.05,0.12,0.17,0.14,0.2,35875,47,51
90006,1688,Los Angeles,63024,65992,2248,33667,14328,1,0,0.32,0.12,0.19,0.15,0.11,0.07,0.07,23480,32120,30904
90008,2043,Los Angeles,33519,34380,1183,8994,8731,1,0,0.68,0.08,0.13,0.15,0.13,0.1,0.15,39969,14743,18776
90029,1484,Los Angeles,42206,44193,1198,31806,7722,1,0,0.44,0.11,0.19,0.16,0.12,0.07,0.09,26081,21455,20751
90031,1583,Los Angeles,39704,40327,833,9386,9827,1,0,0.42,0.11,0.16,0.13,0.11,0.07,0.1,27601,19579,20125
90033,1548,Los Angeles,48770,48574,1181,16106,25260,1,0,0.35,0.12,0.16,0.12,0.1,0.06,0.08,25421,24760,24010
90056,649,Los Angeles,8517,8918,191,3412,2817,1,0,0.85,0.06,0.09,0.16,0.17,0.14,0.18,104281,3861,4656
90077,207,Los Angeles,9049,9031,175,1233,2433,1,0,0.91,0.06,0.07,0.16,0.19,0.14,0.19,185493,4400,4649
90221,2307,Compton,54667,59074,1366,10021,20017,1,0,0.36,0.12,0.15,0.13,0.1,0.06,0.05,34377,27130,27537
90240,1379,Downey,23430,23819,865,8043,5974,1,0,0.68,0.09,0.14,0.15,0.13,0.09,0.14,70676,11459,11971
90242,2316,Downey,45154,47106,722,9911,12939,1,0,0.58,0.1,0.17,0.14,0.12,0.08,0.09,51928,22327,22827
90263,9,Malibu,1664,1757,3,7172,1028,0.62,0.38,0.78,0.65,0.03,0.08,0.08,0.04,0.02,142105,713,951
90265,376,Malibu,19352,20863,1323,204,10071,0.59,0.41,0.81,0.1,0.09,0.16,0.2,0.13,0.13,138634,9664,9688
90290,192,Topanga,5890,6105,228,314,1348,0.58,0.42,0.84,0.04,0.08,0.21,0.23,0.12,0.08,139711,2973,2917
90403,928,Santa Monica,23108,23887,1389,16624,10066,1,0,0.88,0.03,0.21,0.21,0.16,0.1,0.16,102984,10801,12307
90405,1051,Santa Monica,25445,25921,1950,9417,17850,1,0,0.85,0.05,0.2,0.21,0.18,0.1,0.12,97800,12526,12919
90501,2445,Torrance,43606,47000,2510,7592,36314,1,0,0.6,0.1,0.17,0.16,0.13,0.08,0.08,52355,21937,21669
90639,6,La Mirada,2111,2227,1,12641,28,1,0,0.73,0.55,0.08,0.05,0.06,0.04,0.12,67500,882,1229
90710,1530,Harbor City,27012,28777,743,11402,8776,1,0,0.59,0.09,0.16,0.15,0.12,0.1,0.11,50920,13197,13815
90712,2200,Lakewood,32078,32990,903,7315,13524,1,0,0.66,0.07,0.13,0.17,0.14,0.09,0.13,76503,15402,16676
90802,2561,Long Beach,40959,43025,2080,8223,33640,1,0,0.62,0.11,0.22,0.17,0.12,0.07,0.09,30057,21502,19457
90804,2331,Long Beach,45327,48816,1204,20641,13066,1,0,0.56,0.14,0.2,0.15,0.11,0.06,0.05,29391,22045,23282
90806,2371,Long Beach,46661,50966,1461,12132,25045,1,0,0.47,0.11,0.15,0.14,0.11,0.07,0.07,31074,22925,23736
91040,1243,Sunland,20526,20662,535,2078,3896,1,0,0.68,0.07,0.12,0.18,0.16,0.11,0.13,69948,10117,10409
91042,1629,Tujunga,26462,26961,582,862,3694,0.99,0.01,0.64,0.09,0.14,0.18,0.16,0.09,0.1,52214,13429,13033
91107,1528,Pasadena,33469,35072,1805,3952,18977,1,0,0.77,0.07,0.16,0.16,0.15,0.1,0.15,79890,16264,17205
91201,1242,Glendale,25682,27746,961,10674,22562,1,0,0.65,0.09,0.16,0.18,0.14,0.09,0.12,45865,12481,13201
91203,838,Glendale,15431,16692,1689,17595,23400,1,0,0.65,0.09,0.17,0.17,0.14,0.1,0.12,41578,7476,7955
91205,1869,Glendale,43469,46432,1449,23270,9685,1,0,0.59,0.1,0.15,0.16,0.14,0.08,0.13,32098,20893,22576
91320,2017,Newbury Park,41456,47267,1426,1050,16788,0.99,0.01,0.74,0.07,0.13,0.17,0.16,0.1,0.1,97130,20668,20788
90005,1263,Los Angeles,42608,45362,1272,38699,9892,1,0,0.42,0.13,0.22,0.16,0.11,0.06,0.07,27693,22171,20437
90007,1021,Los Angeles,44938,46253,1510,17158,18169,1,0,0.52,0.32,0.16,0.11,0.08,0.05,0.05,25582,22618,22320
90028,1434,Los Angeles,29957,30073,2771,20105,30508,1,0,0.6,0.13,0.26,0.16,0.11,0.07,0.09,28948,16491,13466
90032,2177,Los Angeles,49319,52369,617,10880,10009,1,0,0.48,0.11,0.17,0.13,0.11,0.08,0.1,39941,24313,25006
90220,2649,Compton,49487,51164,1204,6433,25066,1,0,0.45,0.11,0.14,0.14,0.1,0.07,0.09,36658,23816,25671
90241,2523,Downey,42965,45986,1928,8513,23579,1,0,0.62,0.1,0.17,0.14,0.12,0.08,0.12,52878,20521,22444
90266,929,Manhattan Beach,36765,40235,1966,9312,17749,1,0,0.89,0.05,0.16,0.19,0.17,0.1,0.11,146465,18538,18227
90291,953,Venice,32337,33216,1362,12003,9575,1,0,0.76,0.08,0.28,0.2,0.15,0.08,0.08,68266,17006,15331
90404,972,Santa Monica,22619,24466,2119,11159,27477,1,0,0.72,0.09,0.21,0.18,0.15,0.08,0.13,52086,10972,11647
90502,1144,Torrance,18376,19975,940,8349,15216,1,0,0.65,0.08,0.15,0.16,0.14,0.11,0.13,62646,8903,9473
90638,2785,La Mirada,48217,51627,1297,6212,18943,1,0,0.69,0.09,0.12,0.16,0.13,0.1,0.14,78671,23485,24732
90640,3360,Montebello,63276,66240,2367,7491,30892,1,0,0.58,0.1,0.16,0.13,0.11,0.08,0.12,45426,30487,32789
90713,1914,Lakewood,27861,28554,430,8149,3988,1,0,0.66,0.07,0.12,0.18,0.15,0.09,0.13,79991,13564,14297
90732,1086,San Pedro,19401,20006,512,5935,4818,1,0,0.72,0.07,0.12,0.16,0.16,0.12,0.18,84840,9220,10181
90755,811,Signal Hill,10636,12036,1096,4993,15186,0,0,0.66,0.09,0.17,0.18,0.15,0.08,0.08,52822,5244,5392
90803,1600,Long Beach,33107,34054,1392,6853,11993,1,0,0.84,0.06,0.22,0.19,0.17,0.12,0.13,101502,16365,16742
90805,5260,Long Beach,95921,102254,1475,12739,15312,1,0,0.49,0.11,0.16,0.14,0.11,0.06,0.06,36420,46869,49052
90807,2183,Long Beach,31120,32273,1484,7102,14879,1,0,0.74,0.07,0.14,0.17,0.15,0.09,0.14,69953,14668,16452
91016,2173,Monrovia,42836,45034,1751,2464,19160,1,0,0.66,0.08,0.16,0.17,0.13,0.08,0.1,60117,20683,22153
91108,275,San Marino,13680,14315,510,3623,3751,1,0,0.92,0.07,0.07,0.13,0.19,0.12,0.16,142271,6615,7065
91202,1255,Glendale,22527,23430,719,10439,4515,1,0,0.78,0.08,0.14,0.17,0.15,0.11,0.16,63748,10684,11843
91204,837,Glendale,17415,17918,1885,15875,21261,1,0,0.58,0.1,0.18,0.16,0.13,0.08,0.11,39555,8543,8872
91206,1766,Glendale,34070,35380,868,5743,10028,1,0,0.76,0.08,0.15,0.17,0.15,0.11,0.16,56779,16015,18055
91321,1744,Newhall,33946,37158,1659,849,13602,0.99,0.01,0.58,0.12,0.16,0.15,0.12,0.08,0.1,67690,17077,16869
91342,5053,Sylmar,83494,87825,1539,540,27627,0.99,0.01,0.53,0.1,0.15,0.15,0.12,0.08,0.08,58189,41932,41562
91344,3255,Granada Hills,49441,50959,1580,3190,13351,1,0,0.75,0.08,0.13,0.17,0.16,0.11,0.13,79104,24263,25178
91367,2121,Woodland Hills,37613,39121,2480,5067,37109,1,0,0.83,0.07,0.15,0.17,0.15,0.11,0.17,84735,18304,19309
91390,1126,Santa Clarita,17751,21612,342,121,2091,0,0,0.65,0.07,0.1,0.22,0.16,0.08,0.06,92463,8818,8933
91436,469,Encino,15194,15810,2930,2331,23294,1,0,0.88,0.05,0.08,0.15,0.17,0.14,0.2,126508,7358,7836
91746,1429,La Puente,33934,35081,1264,5562,23993,1,0,0.41,0.12,0.16,0.13,0.11,0.08,0.09,52016,17005,16929
